km	គីឡូម៉ែត្រ
m	ម៉ែត្រ
cm	សង់ទីម៉ែត្រ
mm	មីលីម៉ែត្រ
km²	គីឡូម៉ែត្រការ៉េ
m²	ម៉ែត្រការ៉េ
m³	ម៉ែត្រគូប
ha	ហិកតា
kg	គីឡូក្រាម
g	ក្រាម
mg	មីលីក្រាម
t	តោន
l	លីត្រ
L	លីត្រ
ml	មីលីលីត្រ
mL	មីលីលីត្រ
km/h	គីឡូម៉ែត្រក្នុងមួយម៉ោង
°C	អង្សាសេ
℃	អង្សាសេ
°F	អង្សាហ្វារិនហៃ
°	ដឺក្រេ
GB	ជីកាបៃ
MB	មេកាបៃ
KB	គីឡូបៃ
TB	តេរ៉ាបៃ
%	ភាគរយ
٪	ភាគរយ
％	ភាគរយ
min	នាទី
W	វ៉ាត់
kW	គីឡូវ៉ាត់
MW	មេហ្គាវ៉ាត់
kWh	គីឡូវ៉ាត់ម៉ោង
V	វ៉ុល
kV	គីឡូវ៉ុល
mAh	មីលីអំពែរម៉ោង
Hz	ហឺត
kHz	គីឡូហឺត
MHz	មេហ្គាហឺត
GHz	ជីហ្គាហឺត
ft	ហ្វីត
inch	អ៊ីញ
mi	ម៉ាយ
lb	ផោន
oz	អោន
cc	ស៊ីស៊ី
cm²	សង់ទីម៉ែត្រការ៉េ
cm³	សង់ទីម៉ែត្រគូប
m/s	ម៉ែត្រក្នុងមួយវិនាទី
គ.ម	គីឡូម៉ែត្រ
គ.ក្រ	គីឡូក្រាម
